Cryptography Q1,Cryptography Q2,Cryptography Q3,Cryptography Q4,Cryptography Q5,Cryptography Q6,Cryptography Q7,Cryptography Q8,Cryptography Q9,Cryptography Q10,BCDR Q1,BCDR Q2,BCDR Q3,BCDR Q4,BCDR Q5,BCDR Q6,BCDR Q7,BCDR Q8,BCDR Q9,BCDR Q10,Group,Age,Gender,Education,Previous Experience with Cryptography,Previous Experience with BCDR
Digitally signing files and messages to authenticate senders,Uses one key to encrypt blocks of text to be ciphered and another key to decrypt it back,Hashing is one-way cryptography in that you transform a meaningful plaintext into a meaningless but unique hash value but you cannot go from hash value back to the original meaning or plaintext,The certificate public key or both associated with the sender or author match what is associated with the file or message,The sender hashes the message or file to produce a message digest and applies the chosen decryption algorithm and their private key to it. This is the signature. The recipient uses the sender's public key and applies the corresponding encryption algorithm to the signature which will produce a matching message digest only if the message or file is authentically from the sender,Governments implement cryptographic module verifications programs which assure businesses that systems they use that contain such modules will meet regulatory and legal constraints for privacy data protection and product safety,No matter what kind of cryptanalytic attack the larger the key the larger the possible space of key values that an attacker must test; each additional binary bit doubles this search or testing time. Ultimately this requires more computing power and storage than even the most well-funded governments can afford,No because a hash is a many-to-one function and thus must have a collision detection and avoidance mechanism as part of its implementation; being reversible would negate this,Since much of the Internet is carried on long-haul backbone circuits that go via satellite encryption is used to protect data while being transmitted via radio through space to and from the satellite and ground stations. Without encryption anybody could receive these signals and break out the data being exchangedDespite traveling at the speed of light Internet traffic takes time to go from one user's system to another (i.e. from a client to a server); thus encryption protects the data in motion during this time,Cryptography cannot be used to reduce risks to information availability,Temporary staffing,RTO should be less than or equal to MAO,RPO,Plans represent significant investments and decisions and thus should be updated only when significant changes to objectives or circumstances dictate,ARO,MAO,We cannont run the risk that whatever caused the attack isn't dormant in your systems and that it wouldn't spread to our other systems or back out onto the Internet if we did thatYours are not the only systems affected by this attack; we've had to shut down most of our IT operations to make sure that our critical data and systems are protected,Indicators are events that are part of an information security incident kill chain; warnings are observable effects that we can detect that tell us of the occurrences of the indicator,Containment and eradication are separate and distinct tasks; once containment is complete the incident response team moves on to eradications of the causal agent(s),Anomalies in applications behavior,A,29,Male,Associates Degree or Technical School,Informal Training/Experience,Informal Training/Experience
Obscuring meaning by misdirection concealment or deception,Uses the same key or a simple transform of it to encrypt plaintext into ciphertext and to then decrypt the ciphertext back into plaintext,Hashing is one-way cryptography in that you transform a meaningful plaintext into a meaningless but unique hash value but you cannot go from hash value back to the original meaning or plaintext,The certificate public key or both associated with the sender or author match what is associated with the file or message,The sender hashes the message or file to produce a message digest and applies the chosen encryption algorithm and their private key to it. This is the signature. The recipient uses sender's public key and applies the corresponding decryption algorithm to the signature which will produce a matching message digest only if the message or file is authentically from the sender,Governments implement cryptographic module verifications programs which assure businesses that systems they use that contain such modules will meet regulatory and legal constraints for privacy data protection and product safety,No matter what kind of cryptanalytic attack the larger the key the larger the possible space of key values that an attacker must test; each additional binary bit doubles this search or testing time. Ultimately this requires more computing power and storage than even the most well-funded governments can afford,In a limited way they are reversible because the hash acts as a pointer or key into database and file management systems where the plaintext comes from,Since much of the Internet is carried on long-haul backbone circuits that go via satellite encryption is used to protect data while being transmitted via radio through space to and from the satellite and ground stations. Without encryption anybody could receive these signals and break out the data being exchangedEncrypting a file for storage ensures that it cannot be read or tampered with by unauthorized users or processes (which do not have the key); later authorized users with the key can read the file,Display of data to humans or output of data as device commands in control systems needs to be in an unecrypted for to be usableEven cryptographic support for nonrepudiation cannot prove that a recipient (authorized of not) actually read and understood or made use of the contents of a protected file or message; it can only prove that they accessed it,Temporary staffing,RTO should be less than or equal to MAO,ARO,Plans represent significant investments and decisions and thus should be updated only when significant changes to objectives or circumstances dictate,RTO,RPO,We could assume that your systems were not contaminated by the attack and let you run on them. We'd take them down and inspect them later when you're not using themWe have to comply with our policies that tell us how to handle incidents like this and so we can't do that,Indicators are the observable signals from an event which may suggest that an information systems security event may happen later,Containment primarily addresses shutting down connectivity between networks subnets systems and servers. Eradication addresses locating the causal agents (malware bogus user IDs etc.) and removing them from each system,Recurrent problems with data corruption in database entries,B,40,Female,Associates Degree or Technical School,None,None
Obscuring meaning by making it difficult or impossible for unauthorized users to access view copy or change it,Was used extensively in classical encryption but has since been superseded by much stronger asymmetric encryption,Hashing the contents of a file or message is the first step in producing a private key,The file or message has not been tampered with during transit or storage,The sender hashes the message or file to produce a message digest and applies the chosen decryption algorithm and their private key to it. This is the signature. The recipient uses the sender's public key and applies the corresponding encryption algorithm to the signature which will produce a matching message digest only if the message or file is authentically from the sender,Government policies and actions mean that most cryptographic systems available to business are easily broken when government needs to for law enforcement or national security needs,No matter what kind of cryptanalytic attack the larger the key the larger the possible space of key values that an attacker must test; each additional binary bit doubles this search or testing time. Ultimately this requires more computing power and storage than even the most well-funded governments can afford,No because this would allow the plaintext to be decrypted from the hash rendering message digests and digital signatures unworkable,By protecting data in transit (via Internet or other means) it protects data when en route between two or more physically separated points (in space)Since much of the Internet is carried on long-haul backbone circuits that go via satellite encryption is used to protect data while being transmitted via radio through space to and from the satellite and ground stations. Without encryption anybody could receive these signals and break out the data being exchangedDespite traveling at the speed of light Internet traffic takes time to go from one user's system to another (i.e. from a client to a server); thus encryption protects the data in motion during this timeEncrypting a file for storage ensures that it cannot be read or tampered with by unauthorized users or processes (which do not have the key); later authorized users with the key can read the file,Display of data to humans or output of data as device commands in control systems needs to be in an unecrypted for to be usableEven cryptographic support for nonrepudiation cannot prove that a recipient (authorized of not) actually read and understood or made use of the contents of a protected file or message; it can only prove that they accessed itUsers with legitimate access to a variety of information at one level of classification when decrypted for use may be able to infer the existence or value of information at higher levels of classification,Using off-site systems and data archives,RTO should exceed MAO,MAO,Planning is more important than the plans it produces,RPO,MAO,We have to comply with our policies that tell us how to handle incidents like this and so we can't do thatYours are not the only systems affected by this attack; we've had to shut down most of our IT operations to make sure that our critical data and systems are protected,Indicators are events that are part of an information security incident kill chain; warnings are observable effects that we can detect that tell us of the occurrences of the indicator,Malware quarantine operations are an example of containment and eradication achieved with the same task,Recurrent problems with data corruption in database entries,B,24,Male,Highschool/GED,None,None
Transforming the meaning and content of something into a unique value,Uses the same key or a simple transform of it to encrypt plaintext into ciphertext and to then decrypt the ciphertext back into plaintext,Hashing the contents of a file or message is the first step in producing a private key,The file or message has not been tampered with during transit or storage,The sender hashes the message or file to produce a message digest and applies the chosen encryption algorithm and their private key to it. This is the signature. The recipient uses sender's public key and applies the corresponding decryption algorithm to the signature which will produce a matching message digest only if the message or file is authentically from the sender,Governments implement cryptographic module verifications programs which assure businesses that systems they use that contain such modules will meet regulatory and legal constraints for privacy data protection and product safety,No matter what kind of cryptanalytic attack the larger the key the larger the possible space of key values that an attacker must test; each additional binary bit doubles this search or testing time. Ultimately this requires more computing power and storage than even the most well-funded governments can afford,In a limited way they are reversible because the hash acts as a pointer or key into database and file management systems where the plaintext comes from,By protecting data in transit (via Internet or other means) it protects data when en route between two or more physically separated points (in space)Encrypting a file for storage ensures that it cannot be read or tampered with by unauthorized users or processes (which do not have the key); later authorized users with the key can read the file,Even cryptographic support for nonrepudiation cannot prove that a recipient (authorized of not) actually read and understood or made use of the contents of a protected file or message; it can only prove that they accessed itUsers with legitimate access to a variety of information at one level of classification when decrypted for use may be able to infer the existence or value of information at higher levels of classification,Temporary staffing,RTO should be less than or equal to MAO,ARO,Plans are more important than the planning process itself.,ARO,RTO,We have to comply with our policies that tell us how to handle incidents like this and so we can't do that,Indicators are the observable signals from an event which may suggest that an information systems security event may happen later,Containment and eradication are separate and distinct tasks; once containment is complete the incident response team moves on to eradications of the causal agent(s),Anomalies in applications behavior,B,54,Female,Graduate Degree,Informal Training/Experience,None
Transforming the meaning and content of something into a unique value,Uses the same key or a simple transform of it to encrypt plaintext into ciphertext and to then decrypt the ciphertext back into plaintext,Hashing is one-way cryptography in that you transform a meaningful plaintext into a meaningless but unique hash value but you cannot go from hash value back to the original meaning or plaintext,The send or author of a document or file is who the recipient thinks it is,The sender hashes the message or file to produce a message digest and applies the chosen encryption algorithm and their private key to it. This is the signature. The recipient uses sender's public key and applies the corresponding decryption algorithm to the signature which will produce a matching message digest only if the message or file is authentically from the sender,In many jurisdictions law and regulation place significant responsibilities for information protection and due diligence on businesses; these can only be met in practical ways by using cryptographic systems,No matter what kind of cryptanalytic attack the larger the key the larger the possible space of key values that an attacker must test; each additional binary bit doubles this search or testing time. Ultimately this requires more computing power and storage than even the most well-funded governments can afford,No because this would allow the plaintext to be decrypted from the hash rendering message digests and digital signatures unworkable,By protecting data in transit (via Internet or other means) it protects data when en route between two or more physically separated points (in space)Since much of the Internet is carried on long-haul backbone circuits that go via satellite encryption is used to protect data while being transmitted via radio through space to and from the satellite and ground stations. Without encryption anybody could receive these signals and break out the data being exchangedDespite traveling at the speed of light Internet traffic takes time to go from one user's system to another (i.e. from a client to a server); thus encryption protects the data in motion during this timeEncrypting a file for storage ensures that it cannot be read or tampered with by unauthorized users or processes (which do not have the key); later authorized users with the key can read the file,Display of data to humans or output of data as device commands in control systems needs to be in an unecrypted for to be usableEven cryptographic support for nonrepudiation cannot prove that a recipient (authorized of not) actually read and understood or made use of the contents of a protected file or message; it can only prove that they accessed itCryptography cannot be used to reduce risks to information availabilityUsers with legitimate access to a variety of information at one level of classification when decrypted for use may be able to infer the existence or value of information at higher levels of classification,Temporary staffing,RTO should be less than or equal to MAO,MAO,Planning should continuously bring plans and procedures in tune with ongoing operational reality,ARO,RPO,We cannont run the risk that whatever caused the attack isn't dormant in your systems and that it wouldn't spread to our other systems or back out onto the Internet if we did thatYours are not the only systems affected by this attack; we've had to shut down most of our IT operations to make sure that our critical data and systems are protected,Indicators are the observable signals from an event which may suggest that an information systems security event may happen later,Containment and eradication usually involve the same tools and procedures and so they often are performed simultaneously,Routine ping or other ICMP packets coming to your systems,B,64,Male,Graduate Degree,Formal Training/Experience,Formal Training/Expereince
Obscuring meaning by misdirection concealment or deception,Uses the same key or a simple transform of it to encrypt plaintext into ciphertext and to then decrypt the ciphertext back into plaintext,Hashing is one-way cryptography in that you transform a meaningful plaintext into a meaningless but unique hash value but you cannot go from hash value back to the original meaning or plaintext,The send or author of a document or file is who the recipient thinks it is,The sender hashes the message or file to produce a message digest and applies the chosen decryption algorithm and their public key to it. This is the signature. The recipient uses the sender's private key and applies the corresponding encryption algorithm to the signature which will produce a matching message digest only if the message or file is authentically from the sender,Governments implement cryptographic module verifications programs which assure businesses that systems they use that contain such modules will meet regulatory and legal constraints for privacy data protection and product safety,This is a commonly held belief but it's not actually true in most cases. Properly chosen algorithms and properly managed cryptosystems are proven to be unbreakable at current key sizes and making the keys larger will only cause additional throughput delays.,No because this would allow the plaintext to be decrypted from the hash rendering message digests and digital signatures unworkable,Since much of the Internet is carried on long-haul backbone circuits that go via satellite encryption is used to protect data while being transmitted via radio through space to and from the satellite and ground stations. Without encryption anybody could receive these signals and break out the data being exchangedDespite traveling at the speed of light Internet traffic takes time to go from one user's system to another (i.e. from a client to a server); thus encryption protects the data in motion during this time,Even cryptographic support for nonrepudiation cannot prove that a recipient (authorized of not) actually read and understood or made use of the contents of a protected file or message; it can only prove that they accessed it,Using off-site systems and data archives,RTO should exceed MAO,MAO,Plans are more important than the planning process itself.,RPO,ARO,We could assume that your systems were not contaminated by the attack and let you run on them. We'd take them down and inspect them later when you're not using themWe cannont run the risk that whatever caused the attack isn't dormant in your systems and that it wouldn't spread to our other systems or back out onto the Internet if we did that,Indicators are events that are part of an information security incident kill chain; warnings are observable effects that we can detect that tell us of the occurrences of the indicator,,Anomalies in applications behavior,A,27,Male,Bachelors Degree,None,None
Digitally signing files and messages to authenticate senders,Was used extensively in classical encryption but has since been superseded by much stronger asymmetric encryption,Hashing is almost exclusively used to produce indexes and pointers for database and file systems,The file or message has not been viewed by others or copied without the sender's and named recipient's knowledge,The sender hashes the message or file to produce a message digest and applies the chosen encryption algorithm and their private key to it. This is the signature. The recipient uses sender's public key and applies the corresponding decryption algorithm to the signature which will produce a matching message digest only if the message or file is authentically from the sender,In many jurisdictions law and regulation place significant responsibilities for information protection and due diligence on businesses; these can only be met in practical ways by using cryptographic systems,No matter what kind of cryptanalytic attack the larger the key the larger the possible space of key values that an attacker must test; each additional binary bit doubles this search or testing time. Ultimately this requires more computing power and storage than even the most well-funded governments can afford,No because this would allow the plaintext to be decrypted from the hash rendering message digests and digital signatures unworkable,By protecting data in transit (via Internet or other means) it protects data when en route between two or more physically separated points (in space)Since much of the Internet is carried on long-haul backbone circuits that go via satellite encryption is used to protect data while being transmitted via radio through space to and from the satellite and ground stations. Without encryption anybody could receive these signals and break out the data being exchanged,Display of data to humans or output of data as device commands in control systems needs to be in an unecrypted for to be usableEven cryptographic support for nonrepudiation cannot prove that a recipient (authorized of not) actually read and understood or made use of the contents of a protected file or message; it can only prove that they accessed it,Temporary staffing,RTO and MAO are always equal,RPO,Planning should continuously bring plans and procedures in tune with ongoing operational reality,MAO,RTO,We could assume that your systems were not contaminated by the attack and let you run on them. We'd take them down and inspect them later when you're not using themWe cannont run the risk that whatever caused the attack isn't dormant in your systems and that it wouldn't spread to our other systems or back out onto the Internet if we did that,Indicators are the observable signals from an event which may suggest that an information systems security event may happen later,Containment and eradication usually involve the same tools and procedures and so they often are performed simultaneously,Routine ping or other ICMP packets coming to your systems,B,37,Female,Some College,None,None
Obscuring meaning by misdirection concealment or deception,Uses one key to encrypt blocks of text to be ciphered and another key to decrypt it back,Hashing is one-way cryptography in that you transform a meaningful plaintext into a meaningless but unique hash value but you cannot go from hash value back to the original meaning or plaintext,The file or message has not been viewed by others or copied without the sender's and named recipient's knowledge,The sender hashes the message or file to produce a message digest and applies the chosen decryption algorithm and their public key to it. This is the signature. The recipient uses the sender's private key and applies the corresponding encryption algorithm to the signature which will produce a matching message digest only if the message or file is authentically from the sender,In most countries public law and government policy severely restrict the use of cryptography by anyone but the government,No matter what kind of cryptanalytic attack the larger the key the larger the possible space of key values that an attacker must test; each additional binary bit doubles this search or testing time. Ultimately this requires more computing power and storage than even the most well-funded governments can afford,Yes because this would allow the hash to contribute to error detection and correction operations,Since much of the Internet is carried on long-haul backbone circuits that go via satellite encryption is used to protect data while being transmitted via radio through space to and from the satellite and ground stations. Without encryption anybody could receive these signals and break out the data being exchanged,Users with legitimate access to a variety of information at one level of classification when decrypted for use may be able to infer the existence or value of information at higher levels of classification,Engaging with senior organizational leadership,RTO should be less than or equal to MAO,MAO,Plans represent significant investments and decisions and thus should be updated only when significant changes to objectives or circumstances dictate,ARO,RTO,We could assume that your systems were not contaminated by the attack and let you run on them. We'd take them down and inspect them later when you're not using them,Indicators are the observable signals from an event which may suggest that an information systems security event may happen later,Containment and eradication usually involve the same tools and procedures and so they often are performed simultaneously,Routine ping or other ICMP packets coming to your systems,B,45,Male,Associates Degree or Technical School,None,None
Transforming the meaning and content of something into a unique value,Uses one key to encrypt blocks of text to be ciphered and another key to decrypt it back,Hashing is almost exclusively used to produce indexes and pointers for database and file systems,The certificate public key or both associated with the sender or author match what is associated with the file or message,The sender encrypts the message or file with their private key and hashes the encrypted file to produce the signed message digest. This is the signature. The recipient uses the sender's public key and applies the corresponding decryption algorithm tot he signature which will produce a matching message digest only if the message or file is authentically from the sender,In many jurisdictions law and regulation place significant responsibilities for information protection and due diligence on businesses; these can only be met in practical ways by using cryptographic systems,This is a commonly held belief but it's not actually true in most cases. Properly chosen algorithms and properly managed cryptosystems are proven to be unbreakable at current key sizes and making the keys larger will only cause additional throughput delays.,In a limited way they are reversible because the hash acts as a pointer or key into database and file management systems where the plaintext comes from,By protecting data in transit (via Internet or other means) it protects data when en route between two or more physically separated points (in space),Even cryptographic support for nonrepudiation cannot prove that a recipient (authorized of not) actually read and understood or made use of the contents of a protected file or message; it can only prove that they accessed it,Temporary staffing,RTO should exceed MAO,RTO,Plans represent significant investments and decisions and thus should be updated only when significant changes to objectives or circumstances dictate,RTO,ARO,We have to comply with our policies that tell us how to handle incidents like this and so we can't do that,Precursors are the observable signals from an event which may suggest that an information systems security even may happen later,Containment and eradication are separate and distinct tasks; once containment is complete the incident response team moves on to eradications of the causal agent(s),Recurrent problems with data corruption in database entries,A,37,Male,Some College,None,None
Transforming the meaning and content of something into a unique value,Uses one key to encrypt blocks of text to be ciphered and another key to decrypt it back,Hashing is one-way cryptography in that you transform a meaningful plaintext into a meaningless but unique hash value but you cannot go from hash value back to the original meaning or plaintext,The file or message has not been viewed by others or copied without the sender's and named recipient's knowledge,The sender encrypts the message or file with their private key and hashes the encrypted file to produce the signed message digest. This is the signature. The recipient uses the sender's public key and applies the corresponding decryption algorithm tot he signature which will produce a matching message digest only if the message or file is authentically from the sender,Governments implement cryptographic module verifications programs which assure businesses that systems they use that contain such modules will meet regulatory and legal constraints for privacy data protection and product safety,No matter what kind of cryptanalytic attack the larger the key the larger the possible space of key values that an attacker must test; each additional binary bit doubles this search or testing time. Ultimately this requires more computing power and storage than even the most well-funded governments can afford,No because this would allow the plaintext to be decrypted from the hash rendering message digests and digital signatures unworkable,Since much of the Internet is carried on long-haul backbone circuits that go via satellite encryption is used to protect data while being transmitted via radio through space to and from the satellite and ground stations. Without encryption anybody could receive these signals and break out the data being exchangedEncrypting a file for storage ensures that it cannot be read or tampered with by unauthorized users or processes (which do not have the key); later authorized users with the key can read the file,Display of data to humans or output of data as device commands in control systems needs to be in an unecrypted for to be usableCryptography cannot be used to reduce risks to information availability,Temporary staffing,RTO should exceed MAO,MAO,Plans represent significant investments and decisions and thus should be updated only when significant changes to objectives or circumstances dictate,RPO,RTO,We cannont run the risk that whatever caused the attack isn't dormant in your systems and that it wouldn't spread to our other systems or back out onto the Internet if we did thatWe have to comply with our policies that tell us how to handle incidents like this and so we can't do thatYours are not the only systems affected by this attack; we've had to shut down most of our IT operations to make sure that our critical data and systems are protected,Indicators are the observable signals from an event which may suggest that an information systems security event may happen later,Containment primarily addresses shutting down connectivity between networks subnets systems and servers. Eradication addresses locating the causal agents (malware bogus user IDs etc.) and removing them from each system,Anomalies in applications behavior,B,21,Male,Some College,None,None
Obscuring meaning by misdirection concealment or deception,Uses one key to encrypt blocks of text to be ciphered and another key to decrypt it back,Hashing the contents of a file or message is the first step in producing a private key,The file or message has not been viewed by others or copied without the sender's and named recipient's knowledge,The sender hashes the message or file to produce a message digest and applies the chosen decryption algorithm and their private key to it. This is the signature. The recipient uses the sender's public key and applies the corresponding encryption algorithm to the signature which will produce a matching message digest only if the message or file is authentically from the sender,In many jurisdictions law and regulation place significant responsibilities for information protection and due diligence on businesses; these can only be met in practical ways by using cryptographic systems,This is a commonly held belief but it's not actually true in most cases. Properly chosen algorithms and properly managed cryptosystems are proven to be unbreakable at current key sizes and making the keys larger will only cause additional throughput delays.,Yes because this would allow the hash to contribute to error detection and correction operations,Encrypting a file for storage ensures that it cannot be read or tampered with by unauthorized users or processes (which do not have the key); later authorized users with the key can read the file,Display of data to humans or output of data as device commands in control systems needs to be in an unecrypted for to be usableEven cryptographic support for nonrepudiation cannot prove that a recipient (authorized of not) actually read and understood or made use of the contents of a protected file or message; it can only prove that they accessed itCryptography cannot be used to reduce risks to information availabilityUsers with legitimate access to a variety of information at one level of classification when decrypted for use may be able to infer the existence or value of information at higher levels of classification,Temporary staffing,RTO should exceed MAO,MAO,Plans represent significant investments and decisions and thus should be updated only when significant changes to objectives or circumstances dictate,RTO,MAO,We could assume that your systems were not contaminated by the attack and let you run on them. We'd take them down and inspect them later when you're not using themWe cannont run the risk that whatever caused the attack isn't dormant in your systems and that it wouldn't spread to our other systems or back out onto the Internet if we did thatWe have to comply with our policies that tell us how to handle incidents like this and so we can't do that,Precursors are events that prepare the way for an attack such as an intrusions to take place,Containment and eradication usually involve the same tools and procedures and so they often are performed simultaneously,Anomalies in applications behavior,B,69,Male,Bachelors Degree,None,None
Digitally signing files and messages to authenticate senders,Uses the same key or a simple transform of it to encrypt plaintext into ciphertext and to then decrypt the ciphertext back into plaintext,Hashing is one-way cryptography in that you transform a meaningful plaintext into a meaningless but unique hash value but you cannot go from hash value back to the original meaning or plaintext,The send or author of a document or file is who the recipient thinks it is,The sender hashes the message or file to produce a message digest and applies the chosen decryption algorithm and their private key to it. This is the signature. The recipient uses the sender's public key and applies the corresponding encryption algorithm to the signature which will produce a matching message digest only if the message or file is authentically from the sender,In many jurisdictions law and regulation place significant responsibilities for information protection and due diligence on businesses; these can only be met in practical ways by using cryptographic systems,No matter what kind of cryptanalytic attack the larger the key the larger the possible space of key values that an attacker must test; each additional binary bit doubles this search or testing time. Ultimately this requires more computing power and storage than even the most well-funded governments can afford,Yes because this would allow the hash to contribute to error detection and correction operations,Despite traveling at the speed of light Internet traffic takes time to go from one user's system to another (i.e. from a client to a server); thus encryption protects the data in motion during this time,Even cryptographic support for nonrepudiation cannot prove that a recipient (authorized of not) actually read and understood or made use of the contents of a protected file or message; it can only prove that they accessed it,Using off-site systems and data archives,RTO should be less than or equal to MAO,MAO,Planning should continuously bring plans and procedures in tune with ongoing operational reality,RPO,ARO,We could assume that your systems were not contaminated by the attack and let you run on them. We'd take them down and inspect them later when you're not using them,Indicators are the observable signals from an event which may suggest that an information systems security event may happen later,Containment and eradication are separate and distinct tasks; once containment is complete the incident response team moves on to eradications of the causal agent(s),Recurrent problems with data corruption in database entries,A,53,Female,Bachelors Degree,None,None
Transforming the meaning and content of something into a unique value,Was used extensively in classical encryption but has since been superseded by much stronger asymmetric encryption,Hashing is one-way cryptography in that you transform a meaningful plaintext into a meaningless but unique hash value but you cannot go from hash value back to the original meaning or plaintext,The file or message has not been viewed by others or copied without the sender's and named recipient's knowledge,The sender hashes the message or file to produce a message digest and applies the chosen decryption algorithm and their private key to it. This is the signature. The recipient uses the sender's public key and applies the corresponding encryption algorithm to the signature which will produce a matching message digest only if the message or file is authentically from the sender,In many jurisdictions law and regulation place significant responsibilities for information protection and due diligence on businesses; these can only be met in practical ways by using cryptographic systems,This is only a concern for block ciphers since if the key size is too small these ciphers are easily broken with rainbow table or dictionary attacks,In a limited way they are reversible because the hash acts as a pointer or key into database and file management systems where the plaintext comes from,Despite traveling at the speed of light Internet traffic takes time to go from one user's system to another (i.e. from a client to a server); thus encryption protects the data in motion during this time,Cryptography cannot be used to reduce risks to information availability,Using off-site systems and data archives,RTO should be less than or equal to MAO,MAO,Plans represent significant investments and decisions and thus should be updated only when significant changes to objectives or circumstances dictate,MAO,MAO,We have to comply with our policies that tell us how to handle incidents like this and so we can't do that,Indicators are the observable signals from an event which may suggest that an information systems security event may happen later,Malware quarantine operations are an example of containment and eradication achieved with the same task,Recurrent problems with data corruption in database entries,B,48,Male,PhD,None,None
