Cryptography Q1,Cryptography Q2,Cryptography Q3,Cryptography Q4,Cryptography Q5,Cryptography Q6,Cryptography Q7,Cryptography Q8,Cryptography Q9,Cryptography Q10,BCDR Q1,BCDR Q2,BCDR Q3,BCDR Q4,BCDR Q5,BCDR Q6,BCDR Q7,BCDR Q8,BCDR Q9,BCDR Q10,Group,Age,Gender,Education,Previous Experience with Cryptography,Previous Experience with BCDR
Obscuring meaning by misdirection concealment or deception,Uses the same key or a simple transform of it to encrypt plaintext into ciphertext and to then decrypt the ciphertext back into plaintext,Hashing is almost exclusively used to produce indexes and pointers for database and file systems,The file or message has not been viewed by others or copied without the sender's and named recipient's knowledge,The sender encrypts the message or file with their private key and hashes the encrypted file to produce the signed message digest. This is the signature. The recipient uses the sender's public key and applies the corresponding decryption algorithm tot he signature which will produce a matching message digest only if the message or file is authentically from the sender,In many jurisdictions law and regulation place significant responsibilities for information protection and due diligence on businesses; these can only be met in practical ways by using cryptographic systems,No matter what kind of cryptanalytic attack the larger the key the larger the possible space of key values that an attacker must test; each additional binary bit doubles this search or testing time. Ultimately this requires more computing power and storage than even the most well-funded governments can afford,In a limited way they are reversible because the hash acts as a pointer or key into database and file management systems where the plaintext comes from,Since much of the Internet is carried on long-haul backbone circuits that go via satellite encryption is used to protect data while being transmitted via radio through space to and from the satellite and ground stations. Without encryption anybody could receive these signals and break out the data being exchangedEncrypting a file for storage ensures that it cannot be read or tampered with by unauthorized users or processes (which do not have the key); later authorized users with the key can read the file,Even cryptographic support for nonrepudiation cannot prove that a recipient (authorized of not) actually read and understood or made use of the contents of a protected file or message; it can only prove that they accessed itUsers with legitimate access to a variety of information at one level of classification when decrypted for use may be able to infer the existence or value of information at higher levels of classification,Temporary staffing,RTO should exceed MAO,MAO,Planning should continuously bring plans and procedures in tune with ongoing operational reality,RPO,RTO,We cannont run the risk that whatever caused the attack isn't dormant in your systems and that it wouldn't spread to our other systems or back out onto the Internet if we did thatWe have to comply with our policies that tell us how to handle incidents like this and so we can't do thatYours are not the only systems affected by this attack; we've had to shut down most of our IT operations to make sure that our critical data and systems are protected,Indicators are events that are part of an information security incident kill chain; warnings are observable effects that we can detect that tell us of the occurrences of the indicator,Containment and eradication are separate and distinct tasks; once containment is complete the incident response team moves on to eradications of the causal agent(s),Recurrent problems with data corruption in database entries,B,51,Female,Bachelors Degree,None,None
Obscuring meaning by making it difficult or impossible for unauthorized users to access view copy or change it,Uses the same key or a simple transform of it to encrypt plaintext into ciphertext and to then decrypt the ciphertext back into plaintext,Hashing is one-way cryptography in that you transform a meaningful plaintext into a meaningless but unique hash value but you cannot go from hash value back to the original meaning or plaintext,The file or message has not been tampered with during transit or storage,The sender encrypts the message or file with their private key and hashes the encrypted file to produce the signed message digest. This is the signature. The recipient uses the sender's public key and applies the corresponding decryption algorithm tot he signature which will produce a matching message digest only if the message or file is authentically from the sender,In many jurisdictions law and regulation place significant responsibilities for information protection and due diligence on businesses; these can only be met in practical ways by using cryptographic systems,Larger keys require more complex algorithms to execute without unacceptable runtime impacts and this combines to provide even greater security,In a limited way they are reversible because the hash acts as a pointer or key into database and file management systems where the plaintext comes from,By protecting data in transit (via Internet or other means) it protects data when en route between two or more physically separated points (in space)Encrypting a file for storage ensures that it cannot be read or tampered with by unauthorized users or processes (which do not have the key); later authorized users with the key can read the file,Display of data to humans or output of data as device commands in control systems needs to be in an unecrypted for to be usableUsers with legitimate access to a variety of information at one level of classification when decrypted for use may be able to infer the existence or value of information at higher levels of classification,Using off-site systems and data archives,RTO should be less than or equal to MAO,RPO,Planning should continuously bring plans and procedures in tune with ongoing operational reality,ARO,ARO,We cannont run the risk that whatever caused the attack isn't dormant in your systems and that it wouldn't spread to our other systems or back out onto the Internet if we did thatWe have to comply with our policies that tell us how to handle incidents like this and so we can't do that,Precursors are the observable signals from an event which may suggest that an information systems security even may happen later,Containment and eradication are separate and distinct tasks; once containment is complete the incident response team moves on to eradications of the causal agent(s),Routine ping or other ICMP packets coming to your systems,B,31,Male,Highschool/GED,None,None
Obscuring meaning by making it difficult or impossible for unauthorized users to access view copy or change it,Uses the same key or a simple transform of it to encrypt plaintext into ciphertext and to then decrypt the ciphertext back into plaintext,Hashing the contents of a file or message is the first step in producing a private key,The certificate public key or both associated with the sender or author match what is associated with the file or message,The sender encrypts the message or file with their private key and hashes the encrypted file to produce the signed message digest. This is the signature. The recipient uses the sender's public key and applies the corresponding decryption algorithm tot he signature which will produce a matching message digest only if the message or file is authentically from the sender,Governments implement cryptographic module verifications programs which assure businesses that systems they use that contain such modules will meet regulatory and legal constraints for privacy data protection and product safety,Larger keys require more complex algorithms to execute without unacceptable runtime impacts and this combines to provide even greater security,No because a hash is a many-to-one function and thus must have a collision detection and avoidance mechanism as part of its implementation; being reversible would negate this,By protecting data in transit (via Internet or other means) it protects data when en route between two or more physically separated points (in space)Since much of the Internet is carried on long-haul backbone circuits that go via satellite encryption is used to protect data while being transmitted via radio through space to and from the satellite and ground stations. Without encryption anybody could receive these signals and break out the data being exchangedEncrypting a file for storage ensures that it cannot be read or tampered with by unauthorized users or processes (which do not have the key); later authorized users with the key can read the file,Display of data to humans or output of data as device commands in control systems needs to be in an unecrypted for to be usableEven cryptographic support for nonrepudiation cannot prove that a recipient (authorized of not) actually read and understood or made use of the contents of a protected file or message; it can only prove that they accessed it,Relocation of business operations to alternate sites,RTO should be less than or equal to MAO,RPO,Plans are more important than the planning process itself.,ARO,MAO,We cannont run the risk that whatever caused the attack isn't dormant in your systems and that it wouldn't spread to our other systems or back out onto the Internet if we did thatWe have to comply with our policies that tell us how to handle incidents like this and so we can't do that,Precursors are the observable signals from an event which may suggest that an information systems security even may happen later,Containment primarily addresses shutting down connectivity between networks subnets systems and servers. Eradication addresses locating the causal agents (malware bogus user IDs etc.) and removing them from each system,Routine ping or other ICMP packets coming to your systems,A,36,Female,Associates Degree or Technical School,Informal Training/Experience,None
Obscuring meaning by making it difficult or impossible for unauthorized users to access view copy or change it,Uses one key to encrypt blocks of text to be ciphered and another key to decrypt it back,Hashing the contents of a file or message is the first step in producing a private key,The file or message has not been tampered with during transit or storage,The sender hashes the message or file to produce a message digest and applies the chosen decryption algorithm and their public key to it. This is the signature. The recipient uses the sender's private key and applies the corresponding encryption algorithm to the signature which will produce a matching message digest only if the message or file is authentically from the sender,Governments implement cryptographic module verifications programs which assure businesses that systems they use that contain such modules will meet regulatory and legal constraints for privacy data protection and product safety,No matter what kind of cryptanalytic attack the larger the key the larger the possible space of key values that an attacker must test; each additional binary bit doubles this search or testing time. Ultimately this requires more computing power and storage than even the most well-funded governments can afford,No because a hash is a many-to-one function and thus must have a collision detection and avoidance mechanism as part of its implementation; being reversible would negate this,Since much of the Internet is carried on long-haul backbone circuits that go via satellite encryption is used to protect data while being transmitted via radio through space to and from the satellite and ground stations. Without encryption anybody could receive these signals and break out the data being exchangedEncrypting a file for storage ensures that it cannot be read or tampered with by unauthorized users or processes (which do not have the key); later authorized users with the key can read the file,Even cryptographic support for nonrepudiation cannot prove that a recipient (authorized of not) actually read and understood or made use of the contents of a protected file or message; it can only prove that they accessed itCryptography cannot be used to reduce risks to information availability,Temporary staffing,RTO and MAO are always equal,MAO,Planning should continuously bring plans and procedures in tune with ongoing operational reality,ARO,MAO,We cannont run the risk that whatever caused the attack isn't dormant in your systems and that it wouldn't spread to our other systems or back out onto the Internet if we did thatYours are not the only systems affected by this attack; we've had to shut down most of our IT operations to make sure that our critical data and systems are protected,Indicators are events that are part of an information security incident kill chain; warnings are observable effects that we can detect that tell us of the occurrences of the indicator,Containment and eradication are separate and distinct tasks; once containment is complete the incident response team moves on to eradications of the causal agent(s),Recurrent problems with data corruption in database entries,A,60,Female,Associates Degree or Technical School,None,None
Digitally signing files and messages to authenticate senders,Uses one key to encrypt blocks of text to be ciphered and another key to decrypt it back,Hashing is one-way cryptography in that you transform a meaningful plaintext into a meaningless but unique hash value but you cannot go from hash value back to the original meaning or plaintext,The certificate public key or both associated with the sender or author match what is associated with the file or message,The sender encrypts the message or file with their private key and hashes the encrypted file to produce the signed message digest. This is the signature. The recipient uses the sender's public key and applies the corresponding decryption algorithm tot he signature which will produce a matching message digest only if the message or file is authentically from the sender,In many jurisdictions law and regulation place significant responsibilities for information protection and due diligence on businesses; these can only be met in practical ways by using cryptographic systems,Larger keys require more complex algorithms to execute without unacceptable runtime impacts and this combines to provide even greater security,In a limited way they are reversible because the hash acts as a pointer or key into database and file management systems where the plaintext comes from,By protecting data in transit (via Internet or other means) it protects data when en route between two or more physically separated points (in space)Since much of the Internet is carried on long-haul backbone circuits that go via satellite encryption is used to protect data while being transmitted via radio through space to and from the satellite and ground stations. Without encryption anybody could receive these signals and break out the data being exchangedDespite traveling at the speed of light Internet traffic takes time to go from one user's system to another (i.e. from a client to a server); thus encryption protects the data in motion during this time,Display of data to humans or output of data as device commands in control systems needs to be in an unecrypted for to be usable,Temporary staffing,RTO and MAO are always equal,MAO,X,RTO,ARO,We cannont run the risk that whatever caused the attack isn't dormant in your systems and that it wouldn't spread to our other systems or back out onto the Internet if we did thatWe have to comply with our policies that tell us how to handle incidents like this and so we can't do thatYours are not the only systems affected by this attack; we've had to shut down most of our IT operations to make sure that our critical data and systems are protected,Indicators are the observable signals from an event which may suggest that an information systems security event may happen later,Containment primarily addresses shutting down connectivity between networks subnets systems and servers. Eradication addresses locating the causal agents (malware bogus user IDs etc.) and removing them from each system,Inquiries or requests for employee or staff contact information,A,47,Female,Associates Degree or Technical School,None,None
Transforming the meaning and content of something into a unique value,Uses the same key or a simple transform of it to encrypt plaintext into ciphertext and to then decrypt the ciphertext back into plaintext,Hashing the contents of a file or message is the first step in producing a private key,The send or author of a document or file is who the recipient thinks it is,The sender encrypts the message or file with their private key and hashes the encrypted file to produce the signed message digest. This is the signature. The recipient uses the sender's public key and applies the corresponding decryption algorithm tot he signature which will produce a matching message digest only if the message or file is authentically from the sender,Government policies and actions mean that most cryptographic systems available to business are easily broken when government needs to for law enforcement or national security needs,This is only a concern for block ciphers since if the key size is too small these ciphers are easily broken with rainbow table or dictionary attacks,No because a hash is a many-to-one function and thus must have a collision detection and avoidance mechanism as part of its implementation; being reversible would negate this,Despite traveling at the speed of light Internet traffic takes time to go from one user's system to another (i.e. from a client to a server); thus encryption protects the data in motion during this time,Even cryptographic support for nonrepudiation cannot prove that a recipient (authorized of not) actually read and understood or made use of the contents of a protected file or message; it can only prove that they accessed itCryptography cannot be used to reduce risks to information availability,Relocation of business operations to alternate sites,MAO should exceed RTO,RPO,Plans represent significant investments and decisions and thus should be updated only when significant changes to objectives or circumstances dictate,ARO,RTO,We cannont run the risk that whatever caused the attack isn't dormant in your systems and that it wouldn't spread to our other systems or back out onto the Internet if we did thatYours are not the only systems affected by this attack; we've had to shut down most of our IT operations to make sure that our critical data and systems are protected,Precursors are events that prepare the way for an attack such as an intrusions to take place,Containment and eradication are separate and distinct tasks; once containment is complete the incident response team moves on to eradications of the causal agent(s),Inquiries or requests for employee or staff contact information,B,28,Female,Bachelors Degree,None,Informal Training/Experience
Obscuring meaning by misdirection concealment or deception,Uses the same key or a simple transform of it to encrypt plaintext into ciphertext and to then decrypt the ciphertext back into plaintext,Hashing is one-way cryptography in that you transform a meaningful plaintext into a meaningless but unique hash value but you cannot go from hash value back to the original meaning or plaintext,The send or author of a document or file is who the recipient thinks it is,The sender hashes the message or file to produce a message digest and applies the chosen decryption algorithm and their private key to it. This is the signature. The recipient uses the sender's public key and applies the corresponding encryption algorithm to the signature which will produce a matching message digest only if the message or file is authentically from the sender,In many jurisdictions law and regulation place significant responsibilities for information protection and due diligence on businesses; these can only be met in practical ways by using cryptographic systems,No matter what kind of cryptanalytic attack the larger the key the larger the possible space of key values that an attacker must test; each additional binary bit doubles this search or testing time. Ultimately this requires more computing power and storage than even the most well-funded governments can afford,No because this would allow the plaintext to be decrypted from the hash rendering message digests and digital signatures unworkable,By protecting data in transit (via Internet or other means) it protects data when en route between two or more physically separated points (in space)Since much of the Internet is carried on long-haul backbone circuits that go via satellite encryption is used to protect data while being transmitted via radio through space to and from the satellite and ground stations. Without encryption anybody could receive these signals and break out the data being exchangedDespite traveling at the speed of light Internet traffic takes time to go from one user's system to another (i.e. from a client to a server); thus encryption protects the data in motion during this timeEncrypting a file for storage ensures that it cannot be read or tampered with by unauthorized users or processes (which do not have the key); later authorized users with the key can read the file,Even cryptographic support for nonrepudiation cannot prove that a recipient (authorized of not) actually read and understood or made use of the contents of a protected file or message; it can only prove that they accessed itCryptography cannot be used to reduce risks to information availability,Relocation of business operations to alternate sites,RTO should be less than or equal to MAO,RPO,Planning should continuously bring plans and procedures in tune with ongoing operational reality,ARO,RTO,We cannont run the risk that whatever caused the attack isn't dormant in your systems and that it wouldn't spread to our other systems or back out onto the Internet if we did thatYours are not the only systems affected by this attack; we've had to shut down most of our IT operations to make sure that our critical data and systems are protected,Precursors are events that prepare the way for an attack such as an intrusions to take place,Containment and eradication are separate and distinct tasks; once containment is complete the incident response team moves on to eradications of the causal agent(s),Inquiries or requests for employee or staff contact information,A,40,Male,Bachelors Degree,Informal Training/Experience,None
Obscuring meaning by misdirection concealment or deception,Uses the same key or a simple transform of it to encrypt plaintext into ciphertext and to then decrypt the ciphertext back into plaintext,Hashing is one-way cryptography in that you transform a meaningful plaintext into a meaningless but unique hash value but you cannot go from hash value back to the original meaning or plaintext,The file or message has not been viewed by others or copied without the sender's and named recipient's knowledge,The sender hashes the message or file to produce a message digest and applies the chosen encryption algorithm and their private key to it. This is the signature. The recipient uses sender's public key and applies the corresponding decryption algorithm to the signature which will produce a matching message digest only if the message or file is authentically from the sender,In many jurisdictions law and regulation place significant responsibilities for information protection and due diligence on businesses; these can only be met in practical ways by using cryptographic systems,No matter what kind of cryptanalytic attack the larger the key the larger the possible space of key values that an attacker must test; each additional binary bit doubles this search or testing time. Ultimately this requires more computing power and storage than even the most well-funded governments can afford,No because a hash is a many-to-one function and thus must have a collision detection and avoidance mechanism as part of its implementation; being reversible would negate this,By protecting data in transit (via Internet or other means) it protects data when en route between two or more physically separated points (in space)Since much of the Internet is carried on long-haul backbone circuits that go via satellite encryption is used to protect data while being transmitted via radio through space to and from the satellite and ground stations. Without encryption anybody could receive these signals and break out the data being exchangedDespite traveling at the speed of light Internet traffic takes time to go from one user's system to another (i.e. from a client to a server); thus encryption protects the data in motion during this timeEncrypting a file for storage ensures that it cannot be read or tampered with by unauthorized users or processes (which do not have the key); later authorized users with the key can read the file,Display of data to humans or output of data as device commands in control systems needs to be in an unecrypted for to be usableCryptography cannot be used to reduce risks to information availabilityUsers with legitimate access to a variety of information at one level of classification when decrypted for use may be able to infer the existence or value of information at higher levels of classification,Temporary staffing,RTO should be less than or equal to MAO,RPO,Planning should continuously bring plans and procedures in tune with ongoing operational reality,ARO,RTO,We cannont run the risk that whatever caused the attack isn't dormant in your systems and that it wouldn't spread to our other systems or back out onto the Internet if we did thatYours are not the only systems affected by this attack; we've had to shut down most of our IT operations to make sure that our critical data and systems are protected,Indicators are the observable signals from an event which may suggest that an information systems security event may happen later,Containment and eradication are separate and distinct tasks; once containment is complete the incident response team moves on to eradications of the causal agent(s),Routine ping or other ICMP packets coming to your systems,B,32,Male,Graduate Degree,None,None
Obscuring meaning by making it difficult or impossible for unauthorized users to access view copy or change it,Uses the same key or a simple transform of it to encrypt plaintext into ciphertext and to then decrypt the ciphertext back into plaintext,Hashing is one-way cryptography in that you transform a meaningful plaintext into a meaningless but unique hash value but you cannot go from hash value back to the original meaning or plaintext,The file or message has not been viewed by others or copied without the sender's and named recipient's knowledge,The sender hashes the message or file to produce a message digest and applies the chosen decryption algorithm and their public key to it. This is the signature. The recipient uses the sender's private key and applies the corresponding encryption algorithm to the signature which will produce a matching message digest only if the message or file is authentically from the sender,Governments implement cryptographic module verifications programs which assure businesses that systems they use that contain such modules will meet regulatory and legal constraints for privacy data protection and product safety,This is only a concern for block ciphers since if the key size is too small these ciphers are easily broken with rainbow table or dictionary attacks,No because this would allow the plaintext to be decrypted from the hash rendering message digests and digital signatures unworkable,Encrypting a file for storage ensures that it cannot be read or tampered with by unauthorized users or processes (which do not have the key); later authorized users with the key can read the file,Even cryptographic support for nonrepudiation cannot prove that a recipient (authorized of not) actually read and understood or made use of the contents of a protected file or message; it can only prove that they accessed it,Engaging with senior organizational leadership,RTO should exceed MAO,RPO,Plans represent significant investments and decisions and thus should be updated only when significant changes to objectives or circumstances dictate,RPO,MAO,We cannont run the risk that whatever caused the attack isn't dormant in your systems and that it wouldn't spread to our other systems or back out onto the Internet if we did that,Precursors are the observable signals from an event which may suggest that an information systems security even may happen later,Malware quarantine operations are an example of containment and eradication achieved with the same task,Anomalies in applications behavior,B,27,Female,Graduate Degree,None,None
Obscuring meaning by misdirection concealment or deception,Uses the same key or a simple transform of it to encrypt plaintext into ciphertext and to then decrypt the ciphertext back into plaintext,Hashing is one-way cryptography in that you transform a meaningful plaintext into a meaningless but unique hash value but you cannot go from hash value back to the original meaning or plaintext,The file or message has not been viewed by others or copied without the sender's and named recipient's knowledge,The sender hashes the message or file to produce a message digest and applies the chosen encryption algorithm and their private key to it. This is the signature. The recipient uses sender's public key and applies the corresponding decryption algorithm to the signature which will produce a matching message digest only if the message or file is authentically from the sender,Government policies and actions mean that most cryptographic systems available to business are easily broken when government needs to for law enforcement or national security needs,No matter what kind of cryptanalytic attack the larger the key the larger the possible space of key values that an attacker must test; each additional binary bit doubles this search or testing time. Ultimately this requires more computing power and storage than even the most well-funded governments can afford,No because this would allow the plaintext to be decrypted from the hash rendering message digests and digital signatures unworkable,By protecting data in transit (via Internet or other means) it protects data when en route between two or more physically separated points (in space)Since much of the Internet is carried on long-haul backbone circuits that go via satellite encryption is used to protect data while being transmitted via radio through space to and from the satellite and ground stations. Without encryption anybody could receive these signals and break out the data being exchangedEncrypting a file for storage ensures that it cannot be read or tampered with by unauthorized users or processes (which do not have the key); later authorized users with the key can read the file,Even cryptographic support for nonrepudiation cannot prove that a recipient (authorized of not) actually read and understood or made use of the contents of a protected file or message; it can only prove that they accessed itUsers with legitimate access to a variety of information at one level of classification when decrypted for use may be able to infer the existence or value of information at higher levels of classification,Relocation of business operations to alternate sites,MAO should exceed RTO,RPO,Planning should continuously bring plans and procedures in tune with ongoing operational reality,ARO,RTO,We cannont run the risk that whatever caused the attack isn't dormant in your systems and that it wouldn't spread to our other systems or back out onto the Internet if we did that,Precursors are the observable signals from an event which may suggest that an information systems security even may happen later,Containment primarily addresses shutting down connectivity between networks subnets systems and servers. Eradication addresses locating the causal agents (malware bogus user IDs etc.) and removing them from each system,Routine ping or other ICMP packets coming to your systems,A,36,Male,Some College,Informal Training/Experience,None
Transforming the meaning and content of something into a unique value,Uses the same key or a simple transform of it to encrypt plaintext into ciphertext and to then decrypt the ciphertext back into plaintext,Hashing is almost exclusively used to produce indexes and pointers for database and file systems,The certificate public key or both associated with the sender or author match what is associated with the file or message,The sender hashes the message or file to produce a message digest and applies the chosen encryption algorithm and their private key to it. This is the signature. The recipient uses sender's public key and applies the corresponding decryption algorithm to the signature which will produce a matching message digest only if the message or file is authentically from the sender,In many jurisdictions law and regulation place significant responsibilities for information protection and due diligence on businesses; these can only be met in practical ways by using cryptographic systems,This is a commonly held belief but it's not actually true in most cases. Properly chosen algorithms and properly managed cryptosystems are proven to be unbreakable at current key sizes and making the keys larger will only cause additional throughput delays.,No because this would allow the plaintext to be decrypted from the hash rendering message digests and digital signatures unworkable,By protecting data in transit (via Internet or other means) it protects data when en route between two or more physically separated points (in space)Since much of the Internet is carried on long-haul backbone circuits that go via satellite encryption is used to protect data while being transmitted via radio through space to and from the satellite and ground stations. Without encryption anybody could receive these signals and break out the data being exchangedEncrypting a file for storage ensures that it cannot be read or tampered with by unauthorized users or processes (which do not have the key); later authorized users with the key can read the file,Display of data to humans or output of data as device commands in control systems needs to be in an unecrypted for to be usableUsers with legitimate access to a variety of information at one level of classification when decrypted for use may be able to infer the existence or value of information at higher levels of classification,Temporary staffing,RTO should be less than or equal to MAO,RTO,Planning should continuously bring plans and procedures in tune with ongoing operational reality,ARO,MAO,We cannont run the risk that whatever caused the attack isn't dormant in your systems and that it wouldn't spread to our other systems or back out onto the Internet if we did that,Indicators are the observable signals from an event which may suggest that an information systems security event may happen later,Containment and eradication usually involve the same tools and procedures and so they often are performed simultaneously,Anomalies in applications behavior,A,34,Male,Highschool/GED,None,None
Digitally signing files and messages to authenticate senders,Uses the same key or a simple transform of it to encrypt plaintext into ciphertext and to then decrypt the ciphertext back into plaintext,Hashing is one-way cryptography in that you transform a meaningful plaintext into a meaningless but unique hash value but you cannot go from hash value back to the original meaning or plaintext,The certificate public key or both associated with the sender or author match what is associated with the file or message,The sender hashes the message or file to produce a message digest and applies the chosen decryption algorithm and their private key to it. This is the signature. The recipient uses the sender's public key and applies the corresponding encryption algorithm to the signature which will produce a matching message digest only if the message or file is authentically from the sender,In many jurisdictions law and regulation place significant responsibilities for information protection and due diligence on businesses; these can only be met in practical ways by using cryptographic systems,No matter what kind of cryptanalytic attack the larger the key the larger the possible space of key values that an attacker must test; each additional binary bit doubles this search or testing time. Ultimately this requires more computing power and storage than even the most well-funded governments can afford,No because this would allow the plaintext to be decrypted from the hash rendering message digests and digital signatures unworkable,By protecting data in transit (via Internet or other means) it protects data when en route between two or more physically separated points (in space)Encrypting a file for storage ensures that it cannot be read or tampered with by unauthorized users or processes (which do not have the key); later authorized users with the key can read the file,Display of data to humans or output of data as device commands in control systems needs to be in an unecrypted for to be usableEven cryptographic support for nonrepudiation cannot prove that a recipient (authorized of not) actually read and understood or made use of the contents of a protected file or message; it can only prove that they accessed itUsers with legitimate access to a variety of information at one level of classification when decrypted for use may be able to infer the existence or value of information at higher levels of classification,Relocation of business operations to alternate sites,RTO should exceed MAO,RPO,Planning should continuously bring plans and procedures in tune with ongoing operational reality,ARO,RPO,We cannont run the risk that whatever caused the attack isn't dormant in your systems and that it wouldn't spread to our other systems or back out onto the Internet if we did thatYours are not the only systems affected by this attack; we've had to shut down most of our IT operations to make sure that our critical data and systems are protected,Precursors are the observable signals from an event which may suggest that an information systems security even may happen later,Containment primarily addresses shutting down connectivity between networks subnets systems and servers. Eradication addresses locating the causal agents (malware bogus user IDs etc.) and removing them from each system,Inquiries or requests for employee or staff contact information,B,25,Female,Bachelors Degree,None,None
Obscuring meaning by misdirection concealment or deception,Uses the same key or a simple transform of it to encrypt plaintext into ciphertext and to then decrypt the ciphertext back into plaintext,Hashing is almost exclusively used to produce indexes and pointers for database and file systems,The file or message has not been viewed by others or copied without the sender's and named recipient's knowledge,The sender encrypts the message or file with their private key and hashes the encrypted file to produce the signed message digest. This is the signature. The recipient uses the sender's public key and applies the corresponding decryption algorithm tot he signature which will produce a matching message digest only if the message or file is authentically from the sender,Governments implement cryptographic module verifications programs which assure businesses that systems they use that contain such modules will meet regulatory and legal constraints for privacy data protection and product safety,Larger keys require more complex algorithms to execute without unacceptable runtime impacts and this combines to provide even greater security,In a limited way they are reversible because the hash acts as a pointer or key into database and file management systems where the plaintext comes from,By protecting data in transit (via Internet or other means) it protects data when en route between two or more physically separated points (in space)Encrypting a file for storage ensures that it cannot be read or tampered with by unauthorized users or processes (which do not have the key); later authorized users with the key can read the file,Even cryptographic support for nonrepudiation cannot prove that a recipient (authorized of not) actually read and understood or made use of the contents of a protected file or message; it can only prove that they accessed itUsers with legitimate access to a variety of information at one level of classification when decrypted for use may be able to infer the existence or value of information at higher levels of classification,Engaging with senior organizational leadership,RTO should be less than or equal to MAO,MAO,Planning should continuously bring plans and procedures in tune with ongoing operational reality,RPO,RTO,We cannont run the risk that whatever caused the attack isn't dormant in your systems and that it wouldn't spread to our other systems or back out onto the Internet if we did that,Indicators are events that are part of an information security incident kill chain; warnings are observable effects that we can detect that tell us of the occurrences of the indicator,Containment primarily addresses shutting down connectivity between networks subnets systems and servers. Eradication addresses locating the causal agents (malware bogus user IDs etc.) and removing them from each system,Anomalies in applications behavior,A,30,Female,Graduate Degree,Informal Training/Experience,Informal Training/Experience
